"Date","Period","GrossExposure","PortfolioReturn","PortfolioRisk","PredictedReturn"
2023-03-30,"2023-2024",1,-7.76178645587135e-05,0.0403522956712604,0.0178163383773819
2023-03-30,"2023-2024",1.5,-5.57982060815653e-05,0.0403515956432643,0.0179228284015035
2023-03-30,"2023-2024",2,-5.57982060815653e-05,0.0403515956432643,0.0179228284015035
2023-03-30,"2023-2024",2.5,-5.57982060815653e-05,0.0403515956432643,0.0179228284015035
2023-03-30,"2023-2024",3,-5.57982060815653e-05,0.0403515956432643,0.0179228284015035
2023-03-31,"2023-2024",1,0.000178227894104665,0.0202218789106073,0.0125392399656272
2023-03-31,"2023-2024",1.5,4.66590849605162e-05,0.02008548377533,0.0128717984018523
2023-03-31,"2023-2024",2,4.66590849605162e-05,0.02008548377533,0.0128717984018523
2023-03-31,"2023-2024",2.5,4.66590849605162e-05,0.02008548377533,0.0128717984018523
2023-03-31,"2023-2024",3,4.66590849605162e-05,0.02008548377533,0.0128717984018523
2023-04-03,"2023-2024",1,-0.000248628778563099,0.0302484430012783,0.0145252609935535
2023-04-03,"2023-2024",1.5,-0.00029162487235628,0.0302261571988514,0.0147849887668507
2023-04-03,"2023-2024",2,-0.00029162487235628,0.0302261571988514,0.0147849887668507
2023-04-03,"2023-2024",2.5,-0.00029162487235628,0.0302261571988514,0.0147849887668507
2023-04-03,"2023-2024",3,-0.00029162487235628,0.0302261571988514,0.0147849887668507
2023-04-04,"2023-2024",1,0.00283187838391027,0.0245183142298392,0.0118611143284061
2023-04-04,"2023-2024",1.5,0.00296819745752651,0.0244954450686848,0.0119802506685641
2023-04-04,"2023-2024",2,0.00296819745752651,0.0244954450686848,0.0119802506685641
2023-04-04,"2023-2024",2.5,0.00296819745752651,0.0244954450686848,0.0119802506685641
2023-04-04,"2023-2024",3,0.00296819745752651,0.0244954450686848,0.0119802506685641
2023-04-05,"2023-2024",1,0.00176017827042279,0.0240148221677642,0.0129771741419091
2023-04-05,"2023-2024",1.5,0.00173893908635253,0.0239173964117004,0.0139871574748892
2023-04-05,"2023-2024",2,0.00173893908635253,0.0239173964117004,0.0139871574748892
2023-04-05,"2023-2024",2.5,0.00173893908635253,0.0239173964117004,0.0139871574748892
2023-04-05,"2023-2024",3,0.00173893908635253,0.0239173964117004,0.0139871574748892
2023-04-06,"2023-2024",1,-0.000972618920145334,0.0202119474823005,0.0135297055058583
2023-04-06,"2023-2024",1.5,-0.00102534989910526,0.0200792142124046,0.0139841350475232
2023-04-06,"2023-2024",2,-0.00102534989910526,0.0200792142124046,0.0139841350475232
2023-04-06,"2023-2024",2.5,-0.00102534989910526,0.0200792142124046,0.0139841350475232
2023-04-06,"2023-2024",3,-0.00102534989910526,0.0200792142124046,0.0139841350475232
2023-04-10,"2023-2024",1,0.000558410047691674,0.0205462230681167,0.0131312266524634
2023-04-10,"2023-2024",1.5,0.00049483111779984,0.0204181183538015,0.0136957904782887
2023-04-10,"2023-2024",2,0.00049483111779984,0.0204181183538015,0.0136957904782887
2023-04-10,"2023-2024",2.5,0.00049483111779984,0.0204181183538015,0.0136957904782887
2023-04-10,"2023-2024",3,0.00049483111779984,0.0204181183538015,0.0136957904782887
2023-04-11,"2023-2024",1,-0.000383652395895035,0.0402953170144191,0.0181046661575453
2023-04-11,"2023-2024",1.5,-0.000397351837489407,0.0402949230675931,0.0181882822117333
2023-04-11,"2023-2024",2,-0.000397351837489407,0.0402949230675931,0.0181882822117333
2023-04-11,"2023-2024",2.5,-0.000397351837489407,0.0402949230675931,0.0181882822117333
2023-04-11,"2023-2024",3,-0.000397351837489407,0.0402949230675931,0.0181882822117333
2023-04-12,"2023-2024",1,-0.000184380544257109,0.0302031771836893,0.0154859059508328
2023-04-12,"2023-2024",1.5,-0.000201538072058704,0.0301824479180868,0.0157635003818306
2023-04-12,"2023-2024",2,-0.000201538072058704,0.0301824479180868,0.0157635003818306
2023-04-12,"2023-2024",2.5,-0.000201538072058704,0.0301824479180868,0.0157635003818306
2023-04-12,"2023-2024",3,-0.000201538072058704,0.0301824479180868,0.0157635003818306
2023-04-13,"2023-2024",1,0.000608884139933926,0.0237496809180023,0.0138310007817769
2023-04-13,"2023-2024",1.5,0.000829130082648259,0.0236395934484338,0.0148657177927291
2023-04-13,"2023-2024",2,0.000829130082648259,0.0236395934484338,0.0148657177927291
2023-04-13,"2023-2024",2.5,0.000829130082648259,0.0236395934484338,0.0148657177927291
2023-04-13,"2023-2024",3,0.000829130082648259,0.0236395934484338,0.0148657177927291
2023-04-14,"2023-2024",1,-0.00174213190955102,0.0195359685397493,0.0131065932560019
2023-04-14,"2023-2024",1.5,-0.00179685541097084,0.019411369739503,0.0136433432673849
2023-04-14,"2023-2024",2,-0.00179685541097084,0.019411369739503,0.0136433432673849
2023-04-14,"2023-2024",2.5,-0.00179685541097084,0.019411369739503,0.0136433432673849
2023-04-14,"2023-2024",3,-0.00179685541097084,0.019411369739503,0.0136433432673849
2023-04-17,"2023-2024",1,-0.000261638884988595,0.0237597645463758,0.0137785802658659
2023-04-17,"2023-2024",1.5,-0.0001370566907506,0.0236560761139397,0.0147358907189646
2023-04-17,"2023-2024",2,-0.0001370566907506,0.0236560761139397,0.0147358907189646
2023-04-17,"2023-2024",2.5,-0.0001370566907506,0.0236560761139397,0.0147358907189646
2023-04-17,"2023-2024",3,-0.0001370566907506,0.0236560761139397,0.0147358907189646
2023-04-18,"2023-2024",1,0.00213402211761179,0.0235924874140609,0.0143083211023882
2023-04-18,"2023-2024",1.5,0.00211614021595518,0.0233650375227977,0.0157205562936162
2023-04-18,"2023-2024",2,0.00211614021595518,0.0233650375227977,0.0157205562936162
2023-04-18,"2023-2024",2.5,0.00211614021595518,0.0233650375227977,0.0157205562936162
2023-04-18,"2023-2024",3,0.00211614021595518,0.0233650375227977,0.0157205562936162
2023-04-19,"2023-2024",1,0.000954566070256571,0.030341926884353,0.0156874487706058
2023-04-19,"2023-2024",1.5,0.000932223687978867,0.0303312106588656,0.0161047426664249
2023-04-19,"2023-2024",2,0.000932223687978867,0.0303312106588656,0.0161047426664249
2023-04-19,"2023-2024",2.5,0.000932223687978867,0.0303312106588656,0.0161047426664249
2023-04-19,"2023-2024",3,0.000932223687978867,0.0303312106588656,0.0161047426664249
2023-04-20,"2023-2024",1,0.00102091878027023,0.0201804688602697,0.0137125684632969
2023-04-20,"2023-2024",1.5,0.00114445284676196,0.0200506470527087,0.0141531126122725
2023-04-20,"2023-2024",2,0.00114445284676196,0.0200506470527087,0.0141531126122725
2023-04-20,"2023-2024",2.5,0.00114445284676196,0.0200506470527087,0.0141531126122725
2023-04-20,"2023-2024",3,0.00114445284676196,0.0200506470527087,0.0141531126122725
2023-04-21,"2023-2024",1,-0.00216901994331286,0.0248245307286021,0.0132905014636088
2023-04-21,"2023-2024",1.5,-0.0021869437526613,0.0248126257807672,0.0135391697071678
2023-04-21,"2023-2024",2,-0.0021869437526613,0.0248126257807672,0.0135391697071678
2023-04-21,"2023-2024",2.5,-0.0021869437526613,0.0248126257807672,0.0135391697071678
2023-04-21,"2023-2024",3,-0.0021869437526613,0.0248126257807672,0.0135391697071678
2023-04-24,"2023-2024",1,0.00116604805345138,0.0195330433250703,0.0131010976843793
2023-04-24,"2023-2024",1.5,0.00130704465404543,0.0194180600770376,0.0137570708604256
2023-04-24,"2023-2024",2,0.00130704465404543,0.0194180600770376,0.0137570708604256
2023-04-24,"2023-2024",2.5,0.00130704465404543,0.0194180600770376,0.0137570708604256
2023-04-24,"2023-2024",3,0.00130704465404543,0.0194180600770376,0.0137570708604256
2023-04-25,"2023-2024",1,0.000969447500946142,0.0246709974601862,0.0129686262846506
2023-04-25,"2023-2024",1.5,0.000958673532252991,0.0246525768620532,0.0131690480383816
2023-04-25,"2023-2024",2,0.000958673532252991,0.0246525768620532,0.0131690480383816
2023-04-25,"2023-2024",2.5,0.000958673532252991,0.0246525768620532,0.0131690480383816
2023-04-25,"2023-2024",3,0.000958673532252991,0.0246525768620532,0.0131690480383816
2023-04-26,"2023-2024",1,-0.000693251739905113,0.0195313676886933,0.0136023002309776
2023-04-26,"2023-2024",1.5,-0.000611983669468143,0.0194180312099508,0.0142558025320584
2023-04-26,"2023-2024",2,-0.000611983669468143,0.0194180312099508,0.0142558025320584
2023-04-26,"2023-2024",2.5,-0.000611983669468143,0.0194180312099508,0.0142558025320584
2023-04-26,"2023-2024",3,-0.000611983669468143,0.0194180312099508,0.0142558025320584
2023-04-27,"2023-2024",1,0.000723361805055227,0.0243536405962556,0.0131832015074627
2023-04-27,"2023-2024",1.5,0.000927097366984495,0.0243014479610525,0.0138862680615267
2023-04-27,"2023-2024",2,0.000927097366984495,0.0243014479610525,0.0138862680615267
2023-04-27,"2023-2024",2.5,0.000927097366984495,0.0243014479610525,0.0138862680615267
2023-04-27,"2023-2024",3,0.000927097366984495,0.0243014479610525,0.0138862680615267
2023-04-28,"2023-2024",1,0.000696582910767813,0.0195329076700439,0.0136370673399533
2023-04-28,"2023-2024",1.5,0.000688480165846627,0.019420874033462,0.0143458598099452
2023-04-28,"2023-2024",2,0.000688480165846627,0.019420874033462,0.0143458598099452
2023-04-28,"2023-2024",2.5,0.000688480165846627,0.019420874033462,0.0143458598099452
2023-04-28,"2023-2024",3,0.000688480165846627,0.019420874033462,0.0143458598099452
2023-05-01,"2023-2024",1,0.00275173155359346,0.0301620682871182,0.0165440193443557
2023-05-01,"2023-2024",1.5,0.00278228082689339,0.030142104317776,0.0168656871998452
2023-05-01,"2023-2024",2,0.00278228082689339,0.030142104317776,0.0168656871998452
2023-05-01,"2023-2024",2.5,0.00278228082689339,0.030142104317776,0.0168656871998452
2023-05-01,"2023-2024",3,0.00278228082689339,0.030142104317776,0.0168656871998452
2023-05-02,"2023-2024",1,-0.000250711844240297,0.0201651022050602,0.0140010156413057
2023-05-02,"2023-2024",1.5,-6.62168954910407e-05,0.0200335197424541,0.0145100454052953
2023-05-02,"2023-2024",2,-6.62168954910407e-05,0.0200335197424541,0.0145100454052953
2023-05-02,"2023-2024",2.5,-6.62168954910407e-05,0.0200335197424541,0.0145100454052953
2023-05-02,"2023-2024",3,-6.62168954910407e-05,0.0200335197424541,0.0145100454052953
2023-05-03,"2023-2024",1,-0.00119733020556721,0.0727474024272994,0.0224895193341063
2023-05-03,"2023-2024",1.5,-0.00110448379148921,0.0717190331175525,0.0245824512200094
2023-05-03,"2023-2024",2,-0.00110448379148921,0.0717190331175525,0.0245824512200094
2023-05-03,"2023-2024",2.5,-0.00110448379148921,0.0717190331175525,0.0245824512200094
2023-05-03,"2023-2024",3,-0.00110448379148921,0.0717190331175525,0.0245824512200094
2023-05-04,"2023-2024",1,0.00338343666386727,0.0742291226970457,0.0186733165583238
2023-05-04,"2023-2024",1.5,0.00235627214619289,0.0731896136137822,0.0203769614918187
