"Date","GrossExposure","PortfolioReturn","ForecastedRisk"
2023-02-28,2,0.00434684444580948,0.0369769069605387
2023-02-28,2.5,0.00543355555726185,0.0462211337006733
2023-02-28,3,0.00652026666871422,0.055465360440808
2023-03-01,1,-0.000976058103796683,0.0246155806768605
2023-03-01,1.5,-0.00152359335195745,0.0358265528876745
2023-03-01,2,-0.00203145780260993,0.0477687371835659
2023-03-01,2.5,-0.00253932225326241,0.0597109214794574
2023-03-01,3,-0.00304718670391489,0.0716531057753489
2023-03-02,1,-0.0039067929975008,0.0243300668761796
2023-03-02,1.5,-0.00563063563087482,0.0353150139733805
2023-03-02,2,-0.00750751417449976,0.0470866852978406
2023-03-02,2.5,-0.0093843927181247,0.0588583566223008
2023-03-02,3,-0.0112612712617496,0.0706300279467609
2023-03-03,1,0.0018638546062967,0.0239934440953226
2023-03-03,1.5,0.00254301932468433,0.0346544633370913
2023-03-03,2,0.00339069243291244,0.0462059511161217
2023-03-03,2.5,0.00423836554114055,0.0577574388951521
2023-03-03,3,0.00508603864936866,0.0693089266741825
2023-03-06,1,-0.000602262422200405,0.0244970151492348
2023-03-06,1.5,-0.000779833898668332,0.0354713762329628
2023-03-06,2,-0.00103977853155778,0.047295168310617
2023-03-06,2.5,-0.00129972316444722,0.0591189603882713
2023-03-06,3,-0.00155966779733666,0.0709427524659256
2023-03-07,1,0.00282215807279543,0.0195775706859104
2023-03-07,1.5,0.00381079136003431,0.0277540901067333
2023-03-07,2,0.00508105514671241,0.0370054534756444
2023-03-07,2.5,0.00635131893339051,0.0462568168445555
2023-03-07,3,0.00762158272006862,0.0555081802134666
2023-03-08,1,-1.3106349470109e-06,0.0195732190370741
2023-03-08,1.5,-4.95516506482124e-05,0.0277493152630068
2023-03-08,2,-6.6068867530951e-05,0.0369990870173424
2023-03-08,2.5,-8.25860844136871e-05,0.046248858771678
2023-03-08,3,-9.91033012964249e-05,0.0554986305260136
2023-03-09,1,-0.000791158005988998,0.0195699944510949
2023-03-09,1.5,-0.000677476910100026,0.0277426573709601
2023-03-09,2,-0.000903302546800035,0.0369902098279468
2023-03-09,2.5,-0.00112912818350004,0.0462377622849335
2023-03-09,3,-0.00135495382020005,0.0554853147419202
2023-03-10,1,0.00109775305341912,0.0199182430316968
2023-03-10,1.5,0.00176280478021198,0.0281592055432039
2023-03-10,2,0.00235040637361598,0.0375456073909386
2023-03-10,2.5,0.00293800796701998,0.0469320092386732
2023-03-10,3,0.00352560956042397,0.0563184110864079
2023-03-13,1,-0.00116110511418188,0.0248055771168689
2023-03-13,1.5,-0.00121267276396406,0.0363715071081677
2023-03-13,2,-0.00161689701861875,0.0484953428108902
2023-03-13,2.5,-0.00202112127327344,0.0606191785136128
2023-03-13,3,-0.00242534552792813,0.0727430142163353
2023-03-14,1,-0.00418671985228899,0.030257529998431
2023-03-14,1.5,-0.00611440885566076,0.0444670940023453
2023-03-14,2,-0.00815254514088102,0.0592894586697937
2023-03-14,2.5,-0.0101906814261013,0.0741118233372421
2023-03-14,3,-0.0122288177113215,0.0889341880046905
2023-03-15,1,0.00417457911196836,0.023686737990014
2023-03-15,1.5,0.00681976082684356,0.0333715034377365
2023-03-15,2,0.00909301443579141,0.044495337916982
2023-03-15,2.5,0.0113662680447393,0.0556191723962276
2023-03-15,3,0.0136395216536871,0.0667430068754731
2023-03-16,1,0.000249151136578712,0.0244944359183098
2023-03-16,1.5,0.00062061973304284,0.036161207014906
2023-03-16,2,0.000827492977390453,0.0482149426865413
2023-03-16,2.5,0.00103436622173807,0.0602686783581766
2023-03-16,3,0.00124123946608568,0.072322414029812
2023-03-17,1,-0.000181478917047063,0.0245074060370957
2023-03-17,1.5,-0.000210115010867728,0.0362260198775912
2023-03-17,2,-0.000280153347823637,0.0483013598367883
2023-03-17,2.5,-0.000350191684779546,0.0603766997959854
2023-03-17,3,-0.000420230021735455,0.0724520397551824
2023-03-20,1,8.1582176618659e-05,0.0236725504770556
2023-03-20,1.5,-0.000182101423055747,0.0333954738506292
2023-03-20,2,-0.000242801897407663,0.0445272984675057
2023-03-20,2.5,-0.000303502371759577,0.0556591230843821
2023-03-20,3,-0.000364202846111493,0.0667909477012585
2023-03-21,1,-0.000325001768325367,0.0302426506742541
2023-03-21,1.5,-0.000590222722237155,0.0444936107986906
2023-03-21,2,-0.000786963629649541,0.0593248143982541
2023-03-21,2.5,-0.000983704537061927,0.0741560179978177
2023-03-21,3,-0.00118044544447431,0.0889872215973812
2023-03-22,1,-0.00130771797118373,0.0243542518113368
2023-03-22,1.5,-0.00175076052679028,0.0358810629229784
2023-03-22,2,-0.00233434736905371,0.0478414172306379
2023-03-22,2.5,-0.00291793421131714,0.0598017715382974
2023-03-22,3,-0.00350152105358057,0.0717621258459569
2023-03-23,1,0.00649550047791209,0.0402808411803854
2023-03-23,1.5,0.00974398084953209,0.0601765920163569
2023-03-23,2,0.0129919744660428,0.0802354560218092
2023-03-23,2.5,0.0162399680825535,0.100294320027262
2023-03-23,3,0.0194879616990642,0.120353184032714
2023-03-24,1,-0.00316875524544157,0.137693477191365
2023-03-24,1.5,-0.00480884562770132,0.190893232037744
2023-03-24,2,-0.00641179417026843,0.254524309383658
2023-03-24,2.5,-0.00801474271283553,0.318155386729573
2023-03-24,3,-0.00961769125540263,0.381786464075487
2023-03-27,1,0.00102446244417629,0.0195621408875454
2023-03-27,1.5,0.00137990014837012,0.0278106885772214
2023-03-27,2,0.00183986686449349,0.0370809181029618
2023-03-27,2.5,0.00229983358061686,0.0463511476287023
2023-03-27,3,0.00275980029674024,0.0556213771544427
2023-03-28,1,0.00244309673174911,0.0245142314856419
2023-03-28,1.5,0.00362367429562183,0.0361615566251935
2023-03-28,2,0.00483156572749577,0.0482154088335913
2023-03-28,2.5,0.00603945715936972,0.0602692610419892
2023-03-28,3,0.00724734859124366,0.072323113250387
2023-03-29,1,0.000877275207105682,0.01956694557611
2023-03-29,1.5,0.00109885946287806,0.0278163136128391
2023-03-29,2,0.00146514595050408,0.0370884181504521
2023-03-29,2.5,0.00183143243813009,0.0463605226880652
2023-03-29,3,0.00219771892575611,0.0556326272256782
2023-03-30,1,-0.000115123691075817,0.0403174800047053
2023-03-30,1.5,-0.000144560768482515,0.0602839365326821
2023-03-30,2,-0.00019274769131002,0.0803785820435761
2023-03-30,2.5,-0.000240934614137525,0.10047322755447
2023-03-30,3,-0.00028912153696503,0.120567873065364
2023-03-31,1,0.000293664858511064,0.0245204536547213
2023-03-31,1.5,0.00047768621026728,0.0357425551942542
2023-03-31,2,0.00063691494702304,0.0476567402590056
2023-03-31,2.5,0.0007961436837788,0.059570925323757
2023-03-31,3,0.000955372420534561,0.0714851103885084
2023-04-03,1,-0.00574057591214119,0.137887379455991
2023-04-03,1.5,-0.00816983184863117,0.191399938857571
2023-04-03,2,-0.0108931091315082,0.255199918476762
2023-04-03,2.5,-0.0136163864143853,0.318999898095952
2023-04-03,3,-0.0163396636972623,0.382799877715142
2023-04-04,1,0.00326806187792859,0.0205839289567173
2023-04-04,1.5,0.00519105503136137,0.029202658196101
2023-04-04,2,0.00692140670848182,0.0389368775948013
2023-04-04,2.5,0.00865175838560228,0.0486710969935017
2023-04-04,3,0.0103821100627227,0.058405316392202
2023-04-05,1,0.00209693232715438,0.020583511359381
2023-04-05,1.5,0.003574206761387,0.0293017235810219
2023-04-05,2,0.00476560901518266,0.0390689647746959
2023-04-05,2.5,0.00595701126897832,0.0488362059683698
2023-04-05,3,0.00714841352277399,0.0586034471620438
2023-04-06,1,-0.000734558378262633,0.0244537579054672
2023-04-06,1.5,-0.00115573515438467,0.0356169598744685
2023-04-06,2,-0.00154098020584623,0.0474892798326247
2023-04-06,2.5,-0.00192622525730779,0.0593615997907808
2023-04-06,3,-0.00231147030876935,0.071233919748937
2023-04-10,1,0.000445607831726348,0.0244819971594379
2023-04-10,1.5,0.000775305581088646,0.0357192630252295
2023-04-10,2,0.00103374077478486,0.0476256840336394
2023-04-10,2.5,0.00129217596848108,0.0595321050420492
2023-04-10,3,0.00155061116217729,0.0714385260504591
2023-04-11,1,0.0010190823879103,0.0236771371796563
2023-04-11,1.5,0.00130531974718824,0.0334061426096666
2023-04-11,2,0.00174042632958432,0.0445415234795555
2023-04-11,2.5,0.0021755329119804,0.0556769043494444
2023-04-11,3,0.00261063949437648,0.0668122852193332
2023-04-12,1,0.00287467762054518,0.137942281933844
2023-04-12,1.5,0.00404555309076202,0.191852063753239
2023-04-12,2,0.00539407078768269,0.255802751670985
2023-04-12,2.5,0.00674258848460337,0.319753439588731
2023-04-12,3,0.00809110618152404,0.383704127506477
2023-04-13,1,0.00145051723256616,0.0205399823243508
2023-04-13,1.5,0.00218849958604772,0.0291712132073906
2023-04-13,2,0.00291799944806363,0.0388949509431875
2023-04-13,2.5,0.00364749931007953,0.0486186886789843
2023-04-13,3,0.00437699917209544,0.0583424264147812
2023-04-14,1,-0.0040164421366648,0.0301926083487969
2023-04-14,1.5,-0.0057836608290479,0.0444339828692389
2023-04-14,2,-0.00771154777206386,0.0592453104923185
2023-04-14,2.5,-0.00963943471507983,0.0740566381153981
2023-04-14,3,-0.0115673216580958,0.0888679657384778
2023-04-17,1,-0.000261638884988595,0.0237597645463758
2023-04-17,1.5,-0.000197432891437031,0.0340770485676502
2023-04-17,2,-0.000263243855249374,0.0454360647568669
2023-04-17,2.5,-0.000329054819061719,0.0567950809460837
2023-04-17,3,-0.000394865782874062,0.0681540971353004
2023-04-18,1,0.00292740185153267,0.0728323269847288
2023-04-18,1.5,0.00419878488268531,0.0965651324058066
2023-04-18,2,0.00559837984358041,0.128753509874409
2023-04-18,2.5,0.00699797480447551,0.160941887343011
2023-04-18,3,0.00839756976537062,0.193130264811613
2023-04-19,1,0.0010413476729918,0.0205413150432209
2023-04-19,1.5,0.00140918716753857,0.0291682161819081
2023-04-19,2,0.00187891622338477,0.0388909549092108
2023-04-19,2.5,0.00234864527923096,0.0486136936365135
2023-04-19,3,0.00281837433507715,0.0583364323638162
2023-04-20,1,0.00111400269379667,0.0244782337224799
2023-04-20,1.5,0.00161917908920686,0.0357292974800909
2023-04-20,2,0.00215890545227581,0.0476390633067879
2023-04-20,2.5,0.00269863181534476,0.0595488291334848
2023-04-20,3,0.00323835817841371,0.0714585949601818
2023-04-21,1,-0.00143364690831728,0.0201793126376744
2023-04-21,1.5,-0.00198604470930323,0.0286750281465939
2023-04-21,2,-0.00264805961240431,0.0382333708621252
2023-04-21,2.5,-0.00331007451550539,0.0477917135776565
2023-04-21,3,-0.00397208941860647,0.0573500562931878
2023-04-24,1,0.00117379059237948,0.0201797163294547
2023-04-24,1.5,0.00193418277425774,0.0287182905495033
2023-04-24,2,0.00257891036567699,0.0382910540660044
2023-04-24,2.5,0.00322363795709624,0.0478638175825055
2023-04-24,3,0.00386836554851549,0.0574365810990066
2023-04-25,1,0.00201337579658622,0.0195354421573077
2023-04-25,1.5,0.00302375899415967,0.027792315877069
2023-04-25,2,0.00403167865887956,0.0370564211694254
2023-04-25,2.5,0.00503959832359946,0.0463205264617817
2023-04-25,3,0.00604751798831935,0.055584631754138
2023-04-26,1,-0.00287761895983764,0.0759605411069728
2023-04-26,1.5,-0.00411377831713374,0.101292244886749
2023-04-26,2,-0.00548503775617832,0.135056326515665
2023-04-26,2.5,-0.0068562971952229,0.168820408144581
2023-04-26,3,-0.00822755663426748,0.202584489773497
2023-04-27,1,0.00207868359047191,0.0402796950099397
2023-04-27,1.5,0.00313015474754635,0.0602405255051032
2023-04-27,2,0.00417353966339513,0.0803207006734709
2023-04-27,2.5,0.00521692457924391,0.100400875841839
2023-04-27,3,0.00626030949509269,0.120481051010206
2023-04-28,1,0.000634926732634685,0.0201742787354538
2023-04-28,1.5,0.000899274542743496,0.0286760450614904
2023-04-28,2,0.00119903272365799,0.0382347267486539
2023-04-28,2.5,0.00149879090457249,0.0477934084358174
2023-04-28,3,0.00179854908548699,0.0573520901229808
2023-05-01,1,0.00110134867845535,0.0236690230633199
2023-05-01,1.5,0.00172498240268334,0.0334839981350964
2023-05-01,2,0.00229997653691113,0.0446453308467951
2023-05-01,2.5,0.00287497067113891,0.0558066635584939
2023-05-01,3,0.00344996480536669,0.0669679962701927
2023-05-02,1,-0.000250711844240297,0.0201651022050602
2023-05-02,1.5,-9.47409379467328e-05,0.0286632956241702
2023-05-02,2,-0.000126321250595644,0.0382177274988936
2023-05-02,2.5,-0.000157901563244554,0.047772159373617
2023-05-02,3,-0.000189481875893466,0.0573265912483405
2023-05-03,1,-0.000988698911525001,0.019520780540534
2023-05-03,1.5,-0.0014892477377746,0.0277993192519201
2023-05-03,2,-0.00198566365036614,0.0370657590025602
2023-05-03,2.5,-0.00248207956295767,0.0463321987532002
2023-05-03,3,-0.0029784954755492,0.0555986385038403
2023-05-04,1,0.00141741848962654,0.0201385156536398
2023-05-04,1.5,0.00224072989859377,0.0286213446644439
2023-05-04,2,0.0029876398647917,0.0381617928859252
2023-05-04,2.5,0.00373454983098962,0.0477022411074065
2023-05-04,3,0.00448145979718754,0.0572426893288878
