Date,Close,Open,High,Low
,SPLRCD,SPLRCD,SPLRCD,SPLRCD
2016.2.3,578.43,581.8,583.75,567.55
2016.2.2,580.39,590.45,590.45,578.14
2016.2.1,591.68,588.07,593.95,582.21
2016.1.29,588.78,576.36,588.78,576.36
2016.1.28,581.62,575.84,583.14,571.43
2016.1.27,574.59,582.74,586.24,571.84
2016.1.26,583.4,575.32,584.64,574.65
2016.1.25,574.94,582.01,583.04,574.63
2016.1.22,581.79,572.5,583.77,572.5
2016.1.21,572.04,564.67,578.52,563.64
2016.1.20,564.3,568.92,569.32,547.22
2016.1.19,569.69,569.93,576.23,563.93
2016.1.15,567.5,576.29,576.29,561.03
2016.1.14,579.62,575.67,584.43,565.68
2016.1.13,575.37,595.73,596.8,574.28
2016.1.12,595.47,591.48,598.76,588.74
2016.1.11,589.41,584.8,591.28,580.53
2016.1.8,584.27,592.11,597.95,583.15
2016.1.7,590.66,600.92,600.99,589.49
2016.1.6,602.79,606.67,606.67,598.85
2016.1.5,608.84,610.26,612.1,604.87
2016.1.4,609.89,618.96,618.96,603.36
2015.12.31,621.02,626.33,627.36,620.96
2015.12.30,627.12,631.83,631.83,627.05
2015.12.29,632.07,626.17,632.99,626.17
2015.12.28,625.03,622.78,625.23,620.12
2015.12.24,623.39,624.82,625.14,622.82
2015.12.23,625.03,622.39,625.48,622.36
2015.12.22,621.5,618.24,622.91,616.99
2015.12.21,617.35,616.38,620.31,613.2
2015.12.18,615.07,623.58,623.58,614.75
2015.12.17,624.12,634.81,636.03,624.11
2015.12.16,634.44,625.61,635.59,624.32
2015.12.15,623.89,621.78,630,621.78
2015.12.14,620.3,618.29,621.63,611.27
2015.12.11,617.47,630.06,630.06,616.43
2015.12.10,632.16,630.98,635.98,629.67
2015.12.9,630.62,637.02,641.8,627.52
2015.12.8,638.42,638.3,641.58,633.54
2015.12.7,640.48,643.19,643.19,636.21
2015.12.4,643.44,631.76,643.97,631.76
2015.12.3,630.96,640.83,642.58,628.4
2015.12.2,640.68,646.52,646.76,639.72
2015.12.1,646.5,641.06,646.63,641.06
2015.11.30,640.02,645.57,646.49,639.58
2015.11.27,645.46,647.95,648.61,643.06
2015.11.25,648.09,645.04,649.18,645.04
2015.11.24,644.91,645.43,646.97,638.45
2015.11.23,646.26,644.26,648.94,643.94
2015.11.20,644.03,637.17,644.06,637.17
2015.11.19,636.18,635.63,638.74,634.93
2015.11.18,635.75,626.04,636.33,625.32
2015.11.17,625.1,624.26,630.37,623
2015.11.16,623.77,615.84,623.77,612.66
2015.11.13,616.2,632.28,632.28,615.83
2015.11.12,632.99,638.55,639.1,632.68
2015.11.11,639.24,642.88,644.05,637.83
2015.11.10,642.42,636.38,642.65,635.97
2015.11.9,637.19,643.73,643.73,632.54
