Date,Selected_Assets
2022-03-09,"['BTC', 'COCOA', 'COTTON', 'HangSeng', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'Silver', 'SUGAR', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLU', 'XLV', 'XLY']"
2022-03-10,"['HangSeng', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'SUGAR', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLU', 'XLV', 'XLY']"
2022-03-11,"['BTC', 'COCOA', 'HangSeng', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'Silver', 'SUGAR', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLU', 'XLV', 'XLY']"
2022-03-14,"['HangSeng', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'SUGAR', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLU', 'XLV', 'XLY']"
2022-03-15,"['HangSeng', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLU', 'XLV', 'XLY']"
2022-03-16,"['COCOA', 'HangSeng', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'US_Dollar_Index', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLU', 'XLV', 'XLY']"
2022-03-17,"['COCOA', 'EUR_KRW', 'HangSeng', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'US_Dollar_Index', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLU', 'XLV', 'XLY']"
2022-03-18,"['BTC', 'COTTON', 'HangSeng', 'Hyundai', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'US_Dollar_Index', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLU', 'XLV', 'XLY']"
2022-03-21,"['BTC', 'COTTON', 'HangSeng', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'US_Dollar_Index', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLU', 'XLV', 'XLY']"
2022-03-22,"['BTC', 'HangSeng', 'Hyundai', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'US_Dollar_Index', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLU', 'XLV', 'XLY']"
2022-03-23,"['BTC', 'HangSeng', 'Hyundai', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'US_Dollar_Index', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLU', 'XLV', 'XLY']"
2022-03-24,"['BTC', 'Hyundai', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'STEEL', 'US_Dollar_Index', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLU', 'XLV', 'XLY']"
2022-03-25,"['BTC', 'Hyundai', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'STEEL', 'US_Dollar_Index', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLU', 'XLV', 'XLY']"
2022-03-28,"['BTC', 'EUR_KRW', 'Hyundai', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'STEEL', 'US_Dollar_Index', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLU', 'XLV', 'XLY']"
